# d32/dsp-unmapped.csv — defined cells with NO DSP address.
#
# GENERATED alongside dsp.csv by MW/D32/DSP/gen_dsp.py. The companion
# to it: dsp.csv says where a cell lives, this says why it lives
# nowhere. A family in neither file stops the generator.
#
# Class:  host-managed | mcu-only | label | surface-state |
#         hardware-control | control-plane | no-graph-node |
#         unbacked-meter | s1-2-no-behaviour
#
# no-graph-node is the list that costs work: a DSP function this
# product defines and the graph does not build.
#
_Cell,Class,Reason
Aux004PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux005Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux005DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux005Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux005PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux006Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux006DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux006Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux006PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux007Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux007DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux007Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux007PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux008Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux008DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux008Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux008PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux009Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux009DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux009Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux009PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux010Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux010DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux010Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux010PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux011Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux011DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux011Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux011PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Aux012Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux012DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux012Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux012PickOff001,host-managed,"app batch control, not a DSP word: it writes every channel's Chan*AuxPick* for that aux, which is the only DSP truth (PW ruling R4, 2026-09-10 — was open question Q4)"
Bt001Src001,hardware-control,Bluetooth receiver source select — MCU hardware control
Card001Type001,hardware-control,"option-card type, reported by the MCU"
Chan001AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan001Color001,surface-state,strip colour on the surface
Chan001CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan001InsertOn001,hardware-control,analogue insert relay
Chan001Instr001,hardware-control,instrument / Hi-Z input mode
Chan001Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan001MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan001PadOn001,hardware-control,input pad relay
Chan002AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan002Color001,surface-state,strip colour on the surface
Chan002CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan002Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan002DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan002InsertOn001,hardware-control,analogue insert relay
Chan002Instr001,hardware-control,instrument / Hi-Z input mode
Chan002Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan002MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan002PadOn001,hardware-control,input pad relay
Chan003AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan003Color001,surface-state,strip colour on the surface
Chan003CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan003Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan003DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan003InsertOn001,hardware-control,analogue insert relay
Chan003Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan003MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan003PadOn001,hardware-control,input pad relay
Chan004AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan004Color001,surface-state,strip colour on the surface
Chan004CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan004Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan004DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan004InsertOn001,hardware-control,analogue insert relay
Chan004Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan004MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan004PadOn001,hardware-control,input pad relay
Chan005AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan005Color001,surface-state,strip colour on the surface
Chan005CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan005Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan005DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan005InsertOn001,hardware-control,analogue insert relay
Chan005Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan005MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan005PadOn001,hardware-control,input pad relay
Chan006AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan006Color001,surface-state,strip colour on the surface
Chan006CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan006Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan006DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan006InsertOn001,hardware-control,analogue insert relay
Chan006Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan006MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan006PadOn001,hardware-control,input pad relay
Chan007AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan007Color001,surface-state,strip colour on the surface
Chan007CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan007Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan007DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan007InsertOn001,hardware-control,analogue insert relay
Chan007Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan007MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan007PadOn001,hardware-control,input pad relay
Chan008AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan008Color001,surface-state,strip colour on the surface
Chan008CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan008Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan008DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan008InsertOn001,hardware-control,analogue insert relay
Chan008Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan008MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan008PadOn001,hardware-control,input pad relay
Chan009AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan009Color001,surface-state,strip colour on the surface
Chan009CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan009Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan009DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan009InsertOn001,hardware-control,analogue insert relay
Chan009Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan009MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan009PadOn001,hardware-control,input pad relay
Chan010AntiClip001,no-graph-node,"per-channel anti-clip — the master calls it ""Auto gain reduction on/off (M&W exclusive)"". No node implements it, and S25 gate 4 says what it would take rather than leaving it at that. The ARITHMETIC is already here twice over: the COMPRESSOR node carries a `lim_mode` parameter and the whole level->gain LUT path (DSP4_DYN_LUT), so a brickwall at a fixed near-full-scale threshold is a table and a multiply this graph already runs 32 times. What is NOT here is the DECISION, and it is the kind that must not be guessed: an anti-clip that reuses the channel compressor fights the desk's own settings, and one that does not is a second dynamics node per strip on the chip whose worst-use row S24 measured at 100.72 %. Where it sits in the strip (post-fader, before the bus?) and whether it is a limiter or a gain-ride are both PW's, and neither is ruled"
Chan010Color001,surface-state,strip colour on the surface
Chan010CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan010Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan010DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan010InsertOn001,hardware-control,analogue insert relay
Chan010Link001,surface-state,stereo link of adjacent strips; the host writes both strips
