num,item,runner,automation,class,requires_fixture,requires_press,requires_meter,spec_section
85,REC/PLY (fw.csv RecPlay) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
86,REC/PLY (fw.csv RecPlay) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
87,REC/PLY (fw.csv RecPlay) red LEDs,no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
88,STUDIO CTL (fw.csv Studio) button,no runner,3,panel switch,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
89,STUDIO CTL (fw.csv Studio) button LEDs (white pair),no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
90,Encoder ring,no runner,3,panel encoder,the operator at the right panel; no fixture,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
91,"Encoder ring LEDs (8 white singles, fw.csv Enc1–Enc8)",no runner,4,panel LED,the operator at the right panel; no fixture,no,yes,4a. LEDs and displays — an eye (28 rows)
92,Talkback switch + LEDs (pass-through),no runner,3+4,panel control,the operator at the right panel; no fixture,yes,yes,"4a. LEDs and displays — an eye (28 rows) / Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
93,Mini-jack insertion sense (pass-through),no runner,2+3,panel control,the operator at the right panel; no fixture,yes,no,"2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146) / Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
94,TEMP / BLOWER / FAN sense (pass-through),no runner,2+4,panel control,the operator at the right panel; no fixture,no,yes,"4d. The section-4 halves of section-2 rows (5 rows) / 2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146)"
95,"Mini-jack 1 (3.5 mm, Mini Jack sub-assembly)",no runner,2+4,analog input (mini-jack),the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
96,"Mini-jack 2 (3.5 mm, Mini Jack sub-assembly)",no runner,2+4,analog input (mini-jack),the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
97,Phones 1 (headphone jack),no runner,2+4,analog output (phones),the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4b. Analog grade — a dScope (45 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
98,Footswitch 1,no runner,3,pedal switch,the P1 pedal plugged in,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
99,Footswitch 2,no runner,3,pedal switch,the P1 pedal plugged in,yes,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
100,7-segment display + LEDs,no runner,4,pedal LED,the P1 pedal plugged in,no,yes,4a. LEDs and displays — an eye (28 rows)
101,Pedal link + 9 V,no runner,2+4,control,the P1 pedal plugged in,no,yes,"2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146) / 4d. The section-4 halves of section-2 rows (5 rows)"
113,PSU monitor ADC PAD0 (fw.csv Psu1),no runner,—,psu monitor,none: these rows are not scheduled,no,no,B. Read through H1S1 over the matrix bus
114,PSU monitor ADC PAD1 (fw.csv Psu2),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
115,PSU monitor ADC PAD2 (fw.csv Psu3),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
116,PSU monitor ADC PAD3 (fw.csv Psu4),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
117,PSU monitor ADC PAD4 (fw.csv Psu5),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
118,PSU monitor ADC PAD5 (fw.csv Psu6),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
119,PSU monitor ADC PAD6 (fw.csv Psu7),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
120,PSU monitor ADC PAD7 (fw.csv Psu8),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
121,PSU monitor ADC PAD8 (fw.csv Psu9),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
122,PSU monitor ADC PAD9 (fw.csv Psu10),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
123,PSU monitor ADC PAD10 (fw.csv Psu11),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
124,PSU monitor ADC PAD11 (fw.csv Psu12),no runner,—,psu monitor,none: these rows are not scheduled,no,no,out of scope
129,P1 Foot Pedal (RJ45),no runner,2+4,control,the P1 pedal plugged in,no,yes,A. Read from the CM4 (Linux)
130,"USB A (dual jack, hub port 3)",no runner,2+4,USB-A,"a USB stick, an HDMI sink and the mains lead in hand",no,yes,"2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146) / 4d. The section-4 halves of section-2 rows (5 rows)"
131,"USB A (dual jack, hub port 4)",no runner,2+4,USB-A,"a USB stick, an HDMI sink and the mains lead in hand",no,yes,"4c. Rails, continuity and presence — a meter (31 rows) / 2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146)"
132,HDMI 1 (placeholder),no runner,4,HDMI,"a USB stick, an HDMI sink and the mains lead in hand",no,yes,"4c. Rails, continuity and presence — a meter (31 rows) / 2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146)"
133,IEC Power Inlet,no runner,4,power,"a USB stick, an HDMI sink and the mains lead in hand",no,yes,4a. LEDs and displays — an eye (28 rows)
134,Power Switch,no runner,3,power,"a USB stick, an HDMI sink and the mains lead in hand",yes,no,"4c. Rails, continuity and presence — a meter (31 rows)"
135,USB-C Multitrack/DAW,no runner,2,digital audio,a slot-1 card fitted (none exists),no,no,"Section 3 — needs a press (SPECIFICATION ONLY, not built, not run)"
136,Link 'opt1',no runner,4,board-to-board link,a slot-1 card fitted (none exists),no,yes,"2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146)"
137,Link 'opt2',no runner,4,board-to-board link,a slot-1 card fitted (none exists),no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
138,Link 'opt3',no runner,4,board-to-board link,a slot-1 card fitted (none exists),no,yes,"4c. Rails, continuity and presence — a meter (31 rows)"
145,Link 'pedal',no runner,2,board-to-board link,the P1 pedal plugged in,no,no,B. Read through H1S1 over the matrix bus
146,Link 'phones',no runner,2+4,board-to-board link,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146)"
147,Link 'minijack',no runner,2+4,board-to-board link,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,yes,"4d. The section-4 halves of section-2 rows (5 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only"
148,Link 'hdmi-fpc',no runner,1,board-to-board link,the H1 self-cable loopback harness on the analog I/O (BLOCKED: the harness does not exist yet),no,no,"4d. The section-4 halves of section-2 rows (5 rows) / 2B — the analog loopback (47 rows: 1–42, 95, 96, 97, 147, 148) — PW-1 ruled 2026-09-24; now gated on the H1 harness only / 2A — no rails, no analog (9 rows: 58, 93, 94, 101, 130, 131, 132, 136, 146)"
149,Link 'd32compat',no runner,4,board-to-board link,a slot-1 card fitted (none exists),no,yes,🔴 Proposed corrections to section 1's coverage
150,Link 'analog-12v',no runner,—,board-to-board link,a slot-1 card fitted (none exists),no,no,"4c. Rails, continuity and presence — a meter (31 rows)"
152,Link 'fan',no runner,4,board-to-board link,a slot-1 card fitted (none exists),no,yes,A. Read from the CM4 (Linux)
153,J11 (power link / header),no runner,—,power link / header,a DMM and the lid off,no,no,4d. The section-4 halves of section-2 rows (5 rows)
