# DSP4 per-function cost model - measured on the part, chip 1, 2026-08-28.
#
# EVERY FIGURE IN THIS FILE CARRIES ITS BLOCK SIZE. The 2026-08-28 PW
# ruling made 8 the working operating point; the file that this replaces
# was entirely block-32 and did not say so, because until today nothing
# in the tree could be built at another block size.
#
# METHOD: sigprofile.sh - TCOUNT/_proc_cyc, DSP4_NODE_LIMIT prefix cut,
# DEC=32, DSP4_BLOCK_KERNELS=1, DSP4_STRIP_FUSED=0, DSP4_PROFILE_SIGNAL=1.
# A class costs the difference between two consecutive limits. Every point
# is witnessed (strip 1's GAIN coefficient must read 1.0f) because roughly
# one boot in three lands the CFG_COMMIT header word there and then reports
# the SILENCE cost with everything else reading clean.
#
# SIGNAL-PRESENT throughout: a full-rate +/-0.5 (-6 dBFS) square wave in
# every retained strip's IN kernel. Silence measures GATE and COMP on
# their cheap branch and understates a strip by ~29%.
#
# THE INSTRUMENT IS CALIBRATED. Today's BLOCK=32 control, taken on today's
# tree with the same script, puts the strip at 39,470 cycles/block against
# the 39,417 the 08-28 morning session recorded - 0.1% apart. So the
# block-8 column below is comparable to the block-32 column, and the two
# together are a two-point fit of the same code at two block sizes.
#
# Budget: 786.432 MHz / 6000 blocks/s = 131,072 cycles/block;
#         983.04  MHz / 6000 blocks/s = 163,840 cycles/block.  8 samples.
# (At block 32 those were 524,288 and 655,360 over 1500 blocks/s.)
#
# RETRACTED AND REPLACED 2026-08-28 (fourth session). This file previously
# said the strip costs 2.21x more per sample at block 8 than at block 32,
# that 15,856 cycles/block of it is block-INVARIANT (73% of the strip at
# block 8) and that 85% of that invariant is COMP alone. All of it came
# from ONE DEFECT: `lcntr = 31` in the generator's compressor block kernel,
# a literal that survived the block-size parameterisation and made COMP run
# 32 samples of an 8-sample block. A node doing the same 32 samples of work
# whatever the block size measures as block-invariant because it IS.
#
# Corrected and re-measured on the same instrument: COMP is 3,465
# cycles/block at block 8 = 433.1 cycles/sample against 426.1 at block 32,
# the strip is 11,726 cycles/block (second reading 11,859, 1.1% apart), and
# the block-8 penalty is 1.19x per sample, not 2.21x. The ceilings roughly
# double. The largest remaining block-invariant item in the strip is RTG.
function,blk32_cycles_block,blk8_cycles_block,blk32_cycles_sample,blk8_cycles_sample,notes
COMP_PAIR,,4023,,251.4,for TWO channels. Against 2 x 3465 = 6930 scalar: 1.72x where the kernel alone gives 2.07x
# The gap between kernel and graph is real work and it is inside every
# ceiling below: the pair driver runs sample 0 of EACH channel through the
# scalar per-sample body (that is where the block-rate parameter conversion
# lives, and doing it this way is what makes sample 0 bit-identical to the
# scalar path by construction), sets up pointers, and copies the compressor
# gain display back per channel; the pair kernels gather and scatter their
# own interleaved park.
STRIP_TOTAL_PAIRED,,9496,,1187.0,from the whole-pair measurement: paired limits 1->18 read 28147 against 32607 for two scalar strips (limits 1->20), so 4460 cycles/block per PAIR = 2230 per channel off an 11726 strip, -19%. The per-class parts sum to 4779 for the pair, 7% from the whole-pair figure, the difference being the two meters the paired limit carries and the scalar limit does not
# THE MODEL PREDICTS BOTH PAIRED CEILINGS. Backing the fixed overhead out of
# the SCALAR ceilings and re-solving with the paired strip gives 11.3 at 786
# and 15.1 at 983, against 11 and 15 MEASURED. The per-class profile and the
# ceiling sweeps share no arithmetic.
# --- MEASURED ceilings, channels per chip, signal present, honest 6000/s rule ---
CEILING_786_SIGNAL_SCALAR,11,9,,,block 32 measured 2026-08-27. Block 8 MEASURED 2026-08-28 (fourth session): 9 = 5999/s and 10 = 5679/s. SUPERSEDES the 5 recorded earlier that day which was measured with the defective COMP loop count
CEILING_983_SIGNAL_SCALAR,14,12,,,block 8 MEASURED: 12 = 5999/s and 13 = 5656/s. SUPERSEDES the 6 recorded earlier that day
CEILING_786_SIGNAL_PAIRED,,11,,,MEASURED: 11 = 5999/s and 12 = 5903/s. +22% over scalar. 11 strips is an ODD count so the last strip runs its dynamics scalar - the odd-count fallback is exercised in this measurement
CEILING_983_SIGNAL_PAIRED,,15,,,MEASURED: 15 = 5999/s and 16 = 5756/s. +25% over scalar. **16/chip - what a two-chip D32 split needs - misses by 4.2% of the block budget**
# --- silence controls ---
CEILING_786_SILENCE,15,,,,block-32 figure; the block-8 silence rows recorded earlier on 2026-08-28 (8 and 11) were measured with the defective COMP loop count and are WITHDRAWN. Not re-measured this session
CEILING_983_SILENCE,20,,,,as above
# --- what is NOT in this file ---
# SIMD pairing: the 2026-08-28 paired figures (GATE 106.8, COMP 204.2
# cycles/sample) were measured at BLOCK 32 and are NOT carried forward.
# They were per-sample factors on classes whose block-8 cost is dominated
# by block-invariant work, so pairing the sample path buys much less at
# block 8 than it did at block 32. Re-measure before quoting.
